dimension_0;dimension_1
-6.213390872;-19.79965995
-8.877952965;-28.02070623
11.95684938;-13.24969585
11.1999303;-5.921070636
14.84010823;-13.91379044
10.87250798;-11.39414827
10.09617491;-10.69496933
14.22046183;-13.29598634
-12.7228138;-14.86643045
10.32162109;-8.645760611
1.112954707;31.44533298
6.15708611;-9.110983721
10.48425609;-13.78299469
21.04840054;6.92393302
6.251774811;-10.20737606
13.56400066;-3.650591701
8.977748222;-25.22890382
2.040250292;-34.46458046
19.48433359;-6.224464858
8.561301714;-9.422783821
10.24444252;-6.949798934
12.71648534;-11.83093284
5.950064575;-11.11420431
18.43534061;-2.377554692
-6.595822793;-15.05961592
-1.737145878;-15.24168605
7.912576033;19.05695481
17.75615952;13.8103585
2.743521115;22.49374964
1.406415737;22.35463271
6.870865837;-7.889433482
-19.8185614;-11.64349747
-21.22833718;-12.63674199
-12.6495903;-13.45990296
-7.967939229;-12.4861077
-15.38343261;-13.42239966
-11.81720812;-12.05304287
-10.19290007;-12.09840808
-13.35446511;-11.20076895
-13.29318652;-11.20129567
7.157860735;-14.81791543
6.326639789;-13.28143732
11.4912868;-5.179765351
12.10794439;-6.849363804
12.26379582;19.58428274
2.314789811;-8.949799088
2.245959968;17.18473537
-0.00933177;-9.287167784
-0.536520587;-8.71270911
2.185248607;19.62150633
1.364982545;20.88307627
1.444777797;20.95298601
1.375677203;21.1835356
1.488021343;21.35300283
1.314367123;21.09968187
1.665170174;21.15195825
1.620307797;21.22325811
1.349517938;21.17498915
-15.15034697;13.01959527
7.175337131;-3.65604268
-14.07501912;2.965717116
-1.674100707;-10.13879581
-6.608805203;-8.925802888
-10.56407948;-7.701386473
-14.67998634;-7.794516115
-12.75410136;7.451565596
-11.2390212;-11.33009937
-9.307999961;-5.279405512
-13.96723815;11.58284417
-5.648523064;-8.736377569
-0.780787966;-8.107460392
6.326065911;-1.735918865
8.221415513;-2.237607266
-12.39365545;-6.341470226
7.767753814;-1.915145431
-14.42826688;3.761710767
-19.74290153;0.319689635
-22.4087907;13.88133711
10.31424277;-4.405159071
10.58369518;-3.766169647
-5.363306056;-11.0161384
-11.93149813;-1.911877835
-11.5249136;-10.84600576
-22.87558942;2.863990048
9.640382153;-3.88307993
-18.03935292;-5.714958513
-18.50128911;8.73315663
-13.25946701;6.479723822
6.058735622;-3.172181369
5.714491828;17.36941969
8.063115785;-3.24502374
-10.58606272;19.84583183
-8.680932039;-11.22889279
-2.606664539;-19.20937783
-2.633532315;-15.48766346
10.71210974;16.26289079
17.46159325;11.75619601
14.71575518;3.314931819
9.847809573;2.27749675
10.3282691;4.738860043
14.67993505;3.604469437
10.06389506;2.96864581
9.828932303;2.317374538
10.14229124;3.897073792
9.918715582;2.912024754
14.51163304;2.999894641
9.816907528;3.177441786
14.63302694;2.706423207
14.86917204;2.576700201
14.77407986;2.022369905
14.66596469;2.667132128
14.7398782;2.707278858
14.92642668;2.329658227
14.88917095;2.233028849
14.48744605;4.238123293
14.55559472;4.390472408
14.51090939;4.436838307
14.44375355;4.546428743
14.60227537;4.564699308
14.41890756;4.48895734
14.74294276;3.440714008
14.59062814;4.403616227
14.53492866;4.148282676
14.45593908;4.54603536
14.78175011;4.020790764
14.38370204;4.73098886
14.62582807;3.860970061
9.711005769;2.820009317
10.00849065;4.328600678
14.69550071;5.170461142
15.28057093;3.365656799
15.3480212;2.919689767
14.86471867;4.480278712
15.10872884;4.30225215
15.02140825;4.634567284
14.95095354;4.211377333
14.88937487;4.296953983
15.06769714;4.205885563
